STRINGCODE;CAS;KEGG;IAFMODEL;UMBBD;NAME
C(OO);124-38-9;C00011;co2;None;CO2|Carbondioxide
N(HC(OC(HRN(H2)))C(HRC(O(H)O)));None;C00012;None;None;Peptide
O(P(O(H)O(H)O)P(O(H)O(H)O));206975;C00013;ppi;None;Pyrophosphate|Pyrophosphoricacid|Diphosphate|PPi
N(H3);7664-41-7;C00014;nh4;None;NH3|Ammonia
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>;58-98-0;C00015;udp;None;UDP|Uridine5'-diphosphate
###############################################################################################################################################################################################################################################################;146-14-5;C00016;fad;None;FAD|Flavinadenine dinucleotide
(C(HRN(HC(OC(HRN(H2)))))C(ON(HC(HRC(O(H)O)))));None;C00017;None;None;Protein
C(H)(C(C(H2O(P(O(H)O(H)O))))(C(C(HO))(C(O(H))(C(C(H3))(N(){1})))))<1>;54-47-7;C00018;pydx5p;None;Pyridoxal phosphate|Pyridoxal5-phosphate|Pyridoxal5'-phosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2S[+1](C(H3)C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;29908-03-0;C00019;amet;None;S-Adenosyl-L-methionine|S-Adenosylmethionine|Acylcarnitine
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;61-19-8;C00020;amp;None;AMP|Adenosine5'-monophosphate|Adenylicacid|Adenylate|5'-AMP|5'-Adenylicacid|5'-Adenosinemonophosphate|Adenosine5'-phosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2S(C(H2C(H2C(HN(H2)C(O(H)O)))))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;979-92-0;C00021;ahcys;None;S-Adenosyl-L-homocysteine|S-Adenosylhomocysteine
(C(O(H)O)C(OC(H3)));127-17-3;C00022;pyr;None;Pyruvate|Pyruvicacid|2-Oxopropanoate|2-Oxopropanoicacid|Pyroracemicacid
Fe;7439-89-6;C00023;None;None;Iron
(C(OC(H3))S(CoA));72-89-9;C00024;accoa;None;Acetyl-CoA|Acetylcoenzyme A
C(H2C(HN(H2)C(O(H)O))C(H2C(O(H)O)));56-86-0;C00025;glu-L;None;L-Glutamate|L-Glutamicacid|L-Glutaminicacid
C(H2C(OC(O(H)O))C(H2C(O(H)O)));328-50-7;C00026;akg;None;2-Oxoglutarate|Oxoglutaricacid|2-Ketoglutaricacid|alpha-Ketoglutaricacid
(O(H)O(H));7722-84-1;C00027;h2o2;None;H2O2|Hydrogenperoxide|Oxydol
None;;C00028;None;None;C00028|Acceptor|Hydrogen-acceptor|A|Oxidizeddonor|
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))));133-89-1;C00029;udpgal;None;UDPglucose|UDP-D-glucose|UDP-glucose|Uridinediphosphate glucose
None;;C00030;None;None;C00030|Reduced acceptor|AH2|Hydrogen-donor|Donor|
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;50-99-7;C00031;man;None;D-Glucose|Grapesugar|Dextrose
C(H)(C(C(C(H2C(H2C(O(H)O))))(C(C(H3))(C(C(H)(C(C(C(HC(H2)))(C(C(H3))(C(C(H)(C(C(C(HC(H2)))(C(C(H3))(C(C(H)(C(C(C(H3))(C(C(H2C(H2C(O(H)O))))(C(N[+1](Fe(N(){2,5}N(){12,15}N[+1](){7,10})){17}){1})))<17>))<15>)))<12>))<10>)))<7>))<5>)))<2>)<1>;14875-96-8;C00032;None;None;Heme|Haem|Protoheme
C(O(H)OC(H3));64-19-7;C00033;ac;None;Acetate|Aceticacid|Ethanoicacid|Glacialacetic acid
Mn[+2];7439-96-5;C00034;mn2;None;Manganese|Mn2+|Mn(II)|Mn(III)|mn2
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(N(H2))(N(H)(C(O)(){5})))){2})<5>)))<2>)<1>;146-91-8;C00035;gdp;None;GDP|Guanosine5'-diphosphate|Guanosinediphosphate
(C(H2C(O(H)O))C(OC(O(H)O)));328-42-7;C00036;oaa;None;Oxaloacetate|Oxalaceticacid|Oxaloaceticacid|2-Oxobutanedioicacid|Oxosuccinicacid|keto-Oxaloacetate
(C(H2N(H2))C(O(H)O));56-40-6;C00037;gly;None;Glycine|Aminoaceticacid|Gly
Zn[+2];7440-66-6;C00038;zn2;None;zn2|Zinc|Zn2+|Zn(II)
C(H2)(C(H)(C(H)(C(H2)(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(H2)(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(H2)(C(HR)(O(C(HC(H2O(H)))(){5}))))<5>))));9007-49-2;C00039;None;None;DNA|DNAn|DNAn+1|(Deoxyribonucleotide)n|(Deoxyribonucleotide)m|(Deoxyribonucleotide)n+m|Deoxyribonucleicacid
(C(RO)S(CoA));9029-97-4;C00040;None;None;Acyl-CoA|Acylcoenzyme A
(C(HN(H2)C(H3))C(O(H)O));56-41-7;C00041;ala-L;None;L-Alanine|L-2-Aminopropionicacid|L-alpha-Alanine
(C(H2C(O(H)O))C(H2C(O(H)O)));110-15-6;C00042;succ;None;Succinate|Succinicacid|Butanedionicacid|Ethylenesuccinicacid
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HN(HC(OC(H3))))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))));None;C00043;udpacgal;None;UDP-N-acetyl-D-glucosamine|UDP-N-acetylglucosamine
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(P(O(H)O(H)O))O(H)O))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(N(H2))(N(H)(C(O)(){5})))){2})<5>)))<2>)<1>;86-01-1;C00044;gtp;None;GTP|Guanosine5'-triphosphate
(C(HRN(H2))C(O(H)O));None;C00045;None;None;Amino acid
C(H2)(C(H)(C(H)(C(HO(H))(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(HO(H))(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(HC(H2O(P(O(H)O(H)O))))(O(C(HR)(C(HO(H))(){5}))))<5>))));None;C00046;None;None;RNA|RNAn|RNAn+1|RNA(linear)|(Ribonucleotide)n|(Ribonucleotide)m|(Ribonucleotide)n+m|Ribonucleicacid
(C(H2C(H2C(H2N(H2))))C(H2C(HN(H2)C(O(H)O))));56-87-1;C00047;lys-L;None;L-Lysine|Lysineacid|2,6-Diaminohexanoicacid
(C(HO)C(O(H)O));298-12-4;C00048;glx;None;Glyoxylate|Glyoxalate|Glyoxylicacid
(C(H2C(O(H)O))C(HN(H2)C(O(H)O)));56-84-8;C00049;asp-L;None;L-Aspartate|L-Asparticacid|2-Aminosuccinicacid
None;;C00050;None;None;C00050|Metal|
N(HC(OC(H2C(H2C(HN(H2)C(O(H)O)))))C(HC(ON(HC(H2C(O(H)O))))C(H2S(H))));70-18-8;C00051;gthrd;None;Glutathione|Reducedglutathione|5-L-Glutamyl-L-cysteinylglycine|N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine|gamma-L-Glutamyl-L-cysteinyl-glycine|GSH
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))));None;C00052;None;None;UDP-D-galactose|UDPgalactose|UDP-D-galactopyranose
C(H)(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(HC(H2O(P(O(S(O(H)OO))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;482-67-7;C00053;paps;None;3'-Phosphoadenylyl sulfate|3'-Phosphoadenosine5'-phosphosulfate|3'-Phospho-5'-adenylylsulfate|PAPS
C(H)(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;1053-73-2;C00054;pap;None;Adenosine 3',5'-bisphosphate|PAP|3'-Phosphoadenylate|Phosphoadenosinephosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(C(H)(C(N(H2))(N(C(O)(){2})))))<2>)<1>;84-52-6;C00055;cmp;None;CMP|Cytidine-5'-monophosphate|Cytidylicacid
C(HO(H)O);64-18-6;C00058;for;None;Formate|Methanoicacid|Formicacid
S(O(H)O(H)OO);None;C00059;so4;None;Sulfate|Sulfuricacid
C(RO(H)O);None;C00060;None;None;Carboxylate|R-COOH|Monocarboxylate|Carboxylicacid
C(H)(C(C(C(H)(C(C(H3))(C(C(H3))(){1}))N(C(C(N(C(H2C(HO(H)C(HO(H)C(HO(H)C(H2O(P(O(H)O(H)O))))))))(){2}N(C(O)(N(H)(C(O)(){5})))))<5>)))<2>)<1>;146-17-8;C00061;fmn;None;FMN|Riboflavin-5-phosphate|Flavinmononucleotide
C(H2C(H2N(HC(N(H2)N(H))))C(H2C(HN(H2)C(O(H)O))));74-79-3;C00062;arg-L;None;L-Arginine|(S)-2-Amino-5-guanidinovalericacid
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(P(O(H)O(H)O))O(H)O))O(H)O))))(O(){1})))N(C(H)(C(H)(C(N(H2))(N(C(O)(){2})))))<2>)<1>;65-47-4;C00063;ctp;None;CTP|Cytidine5'-triphosphate|Cytidinetriphosphate
C(H2C(HN(H2)C(O(H)O))C(H2C(ON(H2))));56-85-9;C00064;gln-L;None;L-Glutamine|L-2-Aminoglutaramicacid
C(HN(H2)C(O(H)O)C(H2O(H)));56-45-1;C00065;ser-L;None;L-Serine|L-2-Amino-3-hydroxypropionicacid|L-3-Hydroxy-alanine
C(H2)(C(H)(C(H)(C(HO(H))(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(HO(H))(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(HC(H2O(H)))(O(C(HR)(C(HO(H))(){5}))))<5>))));None;C00066;None;None;tRNA|tRNA(n)|tRNA(n+1)|transferRNA
(C(H2)O);50-00-0;C00067;fald;None;Formaldehyde|Methanal|Oxomethane|Oxomethylene|Methyleneoxide|Formalin
C(H2)(C(C(H)(N(C(C(H3))(N(C(N(H2))(){2})))))<2>N[+1](C(H)(S(C(C(H2C(H2O(P(O(P(O(H)O(H)O))O(H)O)))))(C(C(H3))(){2}))))<2>);154-87-0;C00068;thmpp;None;Thiamin diphosphate|Thiaminediphosphate|Thiaminpyrophosphate|TPP|ThPP
(O(H)R);None;C00069;apoACP;None;Alcohol
Cu[+2];7440-50-8;C00070;cu2;None;Copper|Cu+|Cu2+|Cu(II)|cu2
C(HRO);None;C00071;None;None;Aldehyde
C(HC(HO(H)C(H2O(H))))(C(O(H))(C(O(H))(C(O)(O(){1}))))<1>;50-81-7;C00072;ascb-L;None;Ascorbate|Ascorbicacid|L-Ascorbate|L-Ascorbicacid|VitaminC
C(H2C(HN(H2)C(O(H)O))C(H2S(C(H3))));63-68-3;C00073;met-L;None;L-Methionine|L-2-Amino-4methylthiobutyricacid
(C(C(O(H)O)C(H2))O(P(O(H)O(H)O)));138-08-9;C00074;pep;None;Phosphoenolpyruvate|Phosphoenolpyruvicacid|PEP
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(P(O(H)O(H)O))O(H)O))O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>;63-39-8;C00075;utp;None;UTP|Uridine5'-triphosphate|Uridinetriphosphate
Ca[+2];7440-70-2;C00076;ca2;None;Calcium|Ca2+
C(H2C(HN(H2)C(O(H)O))C(H2C(H2N(H2))));70-26-8;C00077;orn;None;L-Ornithine|(S)-2,5-Diaminovalericacid|(S)-2,5-Diaminopentanoicacid|(S)-2,5-Diaminopentanoate
C(H)(C(C(H2C(HN(H2)C(O(H)O))))(C(C(H)(C(H)(C(H)(C(H)(C(N(H)(){1}){3})))))<3>))<1>;73-22-3;C00078;trp-L;None;L-Tryptophan|Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionicacid
C(H)(C(H)(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(C(H)(C(H)(){1})))))<1>;63-91-2;C00079;phe-L;None;L-Phenylalanine|(S)-alpha-Amino-beta-phenylpropionicacid
H[+1];None;C00080;h;None;H+
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(P(O(H)O(H)O))O(H)O))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(H)(C(O)(){5})))){2})<5>)))<2>)<1>;132-06-9;C00081;itp;None;ITP|Inosine5'-triphosphate|Inosinetriphosphate|Inosinetripolyphosphate
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(H2C(HN(H2)C(O(H)O))))(){1})))))<1>;60-18-4;C00082;tyr-L;None;L-Tyrosine|(S)-3-(p-Hydroxyphenyl)alanine|(S)-2-Amino-3-(p-hydroxyphenyl)propionicacid
(C(H2C(O(H)O))C(S(CoA)O));524-14-1;C00083;malcoa;None;Malonyl-CoA|Malonylcoenzyme A
C(HOC(H3));75-07-0;C00084;acald;None;Acetaldehyde|Ethanal
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(O(H)C(H2O(H)))(O(){1}))))<1>;643-13-0;C00085;tag6p-D;None;D-Fructose 6-phosphate|D-Fructose6-phosphoric acid|Neubergester
C(ON(H2)N(H2));57-13-6;C00086;urea;None;Urea|Carbamide
S(H2);7704-34-9;C00087;h2s;None;Sulfur|S|Sulfur,precipitated
N(O(H)O);None;C00088;no2;None;Nitrite
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H2O(H)))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3}))))<3>))<1>;57-50-1;C00089;sucr;None;Sucrose|Canesugar|Saccharose|1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
C(H)(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){1})))))<1>;120-80-9;C00090;None;None;Catechol|1,2-Benzenediol|o-Benzenediol|1,2-Dihydroxybenzene|Brenzcatechin|Pyrocatechol
C(H2C(S(CoA)O)C(H2C(O(H)O)));604-98-8;C00091;succoa;None;Succinyl-CoA|Succinylcoenzyme A
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;56-73-5;C00092;man6p;None;D-Glucose 6-phosphate|Glucose6-phosphate|Robisonester
C(H2O(P(O(H)O(H)O))C(HO(H)C(H2O(H))));57-03-4;C00093;glyc3p;None;sn-Glycerol 3-phosphate|Glycerophosphoricacid|sn-Gro-1-P|Glycerol-3-phosphate
S(O(H)O(H)O);None;C00094;so3;None;Sulfite
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(O(H)C(H2O(H)))(O(){1}))))<1>;57-48-7;C00095;fru;None;D-Fructose|Levulose|Fruitsugar|D-arabino-Hexulose
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(N(C(C(N(C(N(H2))(N(H)(C(O)(){9})))){6})<9>)))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))));None;C00096;gdpmann;None;GDPmannose|GDP-D-mannose
C(HN(H2)C(O(H)O)C(H2S(H)));52-90-4;C00097;cys-L;None;L-Cysteine|L-2-Amino-3-mercaptopropionicacid
N(HC(OC(HRN(H2)))C(HRC(O(H)O)));None;C00098;None;None;Oligopeptide
C(H2C(O(H)O)C(H2N(H2)));107-95-9;C00099;ala-B;None;beta-Alanine|3-Aminopropionicacid|3-Aminopropanoate
C(S(CoA)OC(H2C(H3)));317-66-8;C00100;ppcoa;None;Propanoyl-CoA|Propionyl-CoA|Propionylcoenzyme A
C(H2)(C(H)(C(H2)(N(H)(C(C(C(O)(N(H)(C(N(H2))(N(){5})))N(H)(){2}))<5>)))<2>N(H)(C(C(H)(C(H)(C(C(ON(HC(HC(O(H)O)C(H2C(H2C(O(H)O)))))))(C(H)(C(H)(){3})))))<3>));135-16-0;C00101;thf;None;Tetrahydrofolate|5,6,7,8-Tetrahydrofolate|Tetrahydrofolicacid|THF|(6S)-Tetrahydrofolate|(6S)-Tetrahydrofolicacid|(6S)-THFA
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(N(C(C(H)(C(Cl)(C(O)(C(Cl)(C(H)(){8})))))<8>)){1})))))<1>;None;C00102;None;None;2,6-Dichloroindophenol|2,6-Dichlorophenolindophenol|DCIP
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(H)O)))(O(){1})))))<1>;59-56-3;C00103;man1p;None;D-Glucose 1-phosphate|alpha-D-Glucose1-phosphate|Coriester|D-Glucosealpha-1-phosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(H)(C(O)(){5})))){2})<5>)))<2>)<1>;86-04-4;C00104;idp;None;IDP|Inosine5'-diphosphate|Inosinediphosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>;58-97-9;C00105;ump;None;UMP|Uridylicacid|Uridinemonophosphate|Uridine5'-monophosphate|5'Uridylicacid
C(H)(C(H)(N(H)(C(O)(N(H)(C(O)(){1})))))<1>;66-22-8;C00106;ura;None;Uracil
N(HC(OC(HRN(H2)))C(HRC(O(H)O)));None;C00107;None;None;Dipeptide
C(H)(C(H)(C(H)(C(N(H2))(C(C(O(H)O))(C(H)(){1})))))<1>;118-92-3;C00108;anth;None;Anthranilate|Anthranilicacid|o-Aminobenzoicacid|VitaminL1|2-Aminobenzoate
C(OC(O(H)O)C(H2C(H3)));600-18-0;C00109;2obut;None;2-Oxobutanoate|2-Ketobutyricacid|2-Oxobutyricacid|2-Oxobutyrate|2-Oxobutanoicacid
C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))C(H2C(HC(H3)C(H2C(H2O(P(O(H)O(H)O)))))));None;C00110;None;None;Dolichyl phosphate|Dolicholphosphate
C(H2O(P(O(H)O(H)O))C(OC(H2O(H))));None;C00111;dhap;None;Glycerone phosphate|Dihydroxyacetonephosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(){1})))N(C(H)(C(H)(C(N(H2))(N(C(O)(){2})))))<2>)<1>;63-38-7;C00112;cdp;None;CDP|Cytidine5'-diphosphate|Cytidinediphosphate
C(H)(C(C(C(C(C(O)(C(O)(){2})N(C(C(O(H)O))(C(H)(C(C(O(H)O))(){4})))))<4>N(H)(C(C(O(H)O))(){1})))<2>)<1>;72909-34-3;C00113;None;None;PQQ|Pyrrolo-quinolinequinone|Pyrroloquinoline-quinone|Pyrroloquinolinequinone
C(H2N[+1](C(H3)C(H3)C(H3))C(H2O(H)));62-49-7;C00114;chol;None;Choline|Bilineurine
Cl(H);7782-50-5;C00115;cl;None;Chloride
C(HO(H)C(H2O(H))C(H2O(H)));56-81-5;C00116;glyc;None;Glycerol|Glycerin|1,2,3-Trihydroxypropane|1,2,3-Propanetriol
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1}))))<1>;4151-19-3;C00117;r5p;None;D-Ribose 5-phosphate|Ribose5-phosphate
C(H2O(P(O(H)O(H)O))C(HO(H)C(HO)));591-57-1;C00118;g3p;None;(2R)-2-Hydroxy-3-(phosphonooxy)-propanal|D-Glyceraldehyde3-phosphate
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(HO(P(O(P(O(H)O(H)O))O(H)O)))(O(){1}))))<1>;None;C00119;prpp;None;5-Phospho-alpha-D-ribose 1-diphosphate|5-Phosphoribosyldiphosphate|5-Phosphoribosyl1-pyrophosphate|PRPP
C(H2)(C(H)(C(H)(C(HC(H2C(H2C(H2C(H2C(O(H)O))))))(S(){1})N(H)(C(O)(N(H)(){2}))))<2>)<1>;58-85-5;C00120;btn;None;Biotin|D-Biotin|VitaminH|CoenzymeR
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1}))))<1>;50-69-1;C00121;rib-D;None;D-Ribose
(C(HC(O(H)O))C(HC(O(H)O)));110-17-8;C00122;fum;None;Fumarate|Fumaricacid|trans-Butenedioicacid
(C(H2C(HC(H3)C(H3)))C(HN(H2)C(O(H)O)));61-90-5;C00123;leu-L;None;L-Leucine|2-Amino-4-methylvalericacid|(2S)-alpha-2-Amino-4-methylvalericacid|(2S)-alpha-Leucine
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;59-23-4;C00124;None;None;D-Galactose
###############################################################################################################################################################################################################################################################;None;C00125;None;None;Ferricytochrome c|Cytochromec3+
###############################################################################################################################################################################################################################################################;None;C00126;None;None;Ferrocytochrome c|Cytochromec2+|Reducedcytochrome c
(S(C(H2C(HN(HC(OC(H2C(H2C(HN(H2)C(O(H)O))))))C(ON(HC(H2C(O(H)O)))))))S(C(H2C(HN(HC(OC(H2C(H2C(HN(H2)C(O(H)O))))))C(ON(HC(H2C(O(H)O))))))));27025-41-8;C00127;gthox;None;Oxidized glutathione|Glutathionedisulfide|GSSG|Oxiglutatione
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(N(H2))(N(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(C(C(O(H)O))(C(H2)(C(HO(H))(C(HN(HC(OC(H3))))(C(HC(HO(H)C(HO(H)C(H2O(H)))))(O(){5})))))<5>))));3063-71-6;C00128;None;None;CMP-N-acetylneuraminate
O(P(O(P(O(H)O(H)O))O(H)O)C(H2C(H2C(C(H3)C(H2)))));358-71-4;C00129;ipdp;None;Isopentenyl diphosphate|delta3-Isopentenyldiphosphate|delta3-Methyl-3-butenyldiphosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(H)(C(O)(){5})))){2})<5>)))<2>)<1>;131-99-7;C00130;imp;None;IMP|Inosinicacid|Inosinemonophosphate|Inosine5'-monophosphate|Inosine5'-phosphate|5'-Inosinate|5'-Inosinicacid|5'-Inosinemonophosphate|5'-IMP
C(H2)(C(H)(N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){6})))){3})<6>)))<3>O(C(HC(H2O(P(O(P(O(P(O(H)O(H)O))O(H)O))O(H)O))))(C(HO(H))(){1}))))<1>;1927-31-7;C00131;datp;None;dATP|2'-Deoxyadenosine5'-triphosphate|Deoxyadenosine5'-triphosphate|Deoxyadenosinetriphosphate
(C(H3)O(H));67-56-1;C00132;None;None;Methanol|Methylalcohol
(C(HN(H2)C(H3))C(O(H)O));338-69-2;C00133;None;None;D-Alanine|D-2-Aminopropionicacid
(C(H2C(H2N(H2)))C(H2C(H2N(H2))));110-60-1;C00134;ptrc;None;Putrescine|1,4-Butanediamine|1,4-Diaminobutane|Tetramethylenediamine
